"DistC_10w_B4" "DistC_10w_C1" "DistC_10w_F6" "DistC_12w_A4" "DistC_12w_B1" "DistC_12w_E3" "DistC_14w_A3" "DistC_14w_C3" "DistC_14w_E4" "DistC_6w_A2" "DistC_6w_B2" "DistC_6w_F7" "DistC_6w_G3" "DistC_6w_G4" "DistC_6w_G5" "DistC_8w_B3" "DistC_8w_C2" "DistC_8w_D4"
"2310033P09Rik" 7.15471 9.10623 14.0837 11.2454 9.39565 11.5137 14.6002 4.08734 3.6489 15.3797 14.3968 14.8544 20.3145 18.7416 17.4851 16.2819 15.0864 15.2228
"2310034C09Rik" 3.18743 3.06426 4.44866 1.56431 3.08637 7.32576 1.44655 1.41016 0.881994 0.401995 1.03933 0.679717 0.0619434 0.0583915 0 5.53334 5.00013 1.96662
"2310034G01Rik" 4.57274 7.93071 7.95207 7.21481 8.03907 6.36351 7.7492 3.7168 6.32477 7.01886 10.3788 7.89435 7.23266 8.06937 8.32313 6.11909 10.7877 11.896
"2310039H08Rik" 17.5839 27.2331 24.62 39.7577 28.1292 25.5637 27.1459 24.8053 32.5722 24.0756 25.2994 23.9328 43.1093 29.043 31.9524 23.0836 33.6871 21.1137
"2310057M21Rik" 3.1104255 2.91309721 6.4522936 2.0426299 1.7290939 2.7089429 3.1239822 0.456858 1.293896 3.746304 3.3385124 3.680236 3.510104 2.277771 2.409616 2.9545644 2.7345638 3.677278
"2310061I04Rik" 31.439948 36.113984 45.3424226 41.358134 38.6362 42.087207 54.770973 17.033718 27.450515 52.241393 52.6598801 58.885219 52.826356 46.135107 53.160039 66.658735 54.697832 68.30702
"2310079G19Rik" 27.1568 17.7331 9.96014 17.0087 24.7057 20.7077 17.8617 4.00118 9.01557 3.05425 10.313 9.7364 2.96611 4.22245 1.7515 34.6456 79.2872 60.8328
"2410002F23Rik" 8.6133986 11.26088 11.8179483 14.4670168 14.340969 14.4316759982 9.94175896 5.0029624 6.031425 10.3245685 8.83466678 8.212392 18.08562645606 13.32082084385 11.5279599 13.7514571 14.111877 7.03739
"2410004B18Rik" 36.586079 25.735099 16.100732041 20.829291 25.402079 20.184862 13.63615 24.990442 27.82144 10.450669 10.765608 12.724523 8.566171 8.965524 6.299823 10.671044 20.916825 13.229245
"2410004P03Rik" 0.201705 0.0864843 0.0719007 0.144386 0.197638 0.194626 0.181067 0.368838 0.167982 0.4054197 0.121662 0.271748 0.167801 0.356733 0.1111745 0.125507 0.121639 0.0977888
"2410131K14Rik" 2.13051 1.93084 3.16646 1.96186 2.01313 2.67226 3.7361 1.37815 1.96276 3.24477 3.50096 3.07037 3.35007 2.90039 2.65319 3.89775 2.91612 3.69025
"2510002D24Rik" 28.23478 23.94689 16.44216 31.26857 29.23425 26.00061 16.2861 26.24914 25.781493 18.17248 15.44914 16.333479 17.61736 14.71276 14.61002 19.27145 26.66757 16.30954
"2510009E07Rik" 3.3959514 6.61548 8.505864 6.203866 6.905643 6.889867 17.328636 1.242266 2.340363 19.392714 23.906935 18.676902 17.520012 21.786988 19.598819 16.870496 9.184256 12.961675
"2510039O18Rik" 42.7175 45.728 76.1307 43.9171 42.0959 47.5142 68.9352 16.5861 22.0433 71.2383 74.2515 71.2261 64.2891 69.3045 62.034 82.2598 73.6593 85.3652
"2610001J05Rik" 39.224318 36.509732 42.0646765 42.31941 40.20853 39.316154 39.261085 34.320969 41.395922 38.344695 39.245059 38.7160636 38.3475309 41.3120093 38.2326576 38.71935 44.2460205 38.418071
"2610002M06Rik" 18.968066 11.937598 15.2426 8.597018 10.877916 9.669774 9.5296484 6.84622 9.17 8.948203 10.57077 9.319133 7.41039 8.51976 7.78433 11.699976 10.709071 15.3474
"2610005L07Rik" 5.57362 6.27279 8.91255 10.13747 8.52464 11.89988 5.27388 1.336105 1.347143 9.13495 7.07217 9.557 13.52333 11.20094 11.73613 10.3717 12.11321 8.49723
"2610008E11Rik" 2.0690055 1.752515 1.5615178 2.614413 3.9150519 3.800826 4.02315 0.520823 0.845706 4.3276487 2.883499 4.337463 3.6882151 4.400353 3.9017427 4.3733 3.552084 2.2044
"2610021A01Rik" 3.130153 1.73036 2.5823 2.3134928 2.737421 2.811575 3.44394 0.585532 1.0888 4.056354 2.735043 2.911523 2.939146 1.918378 3.48882 3.966652 3.325935 2.500342
