"";"logFC.6w";"logFC.8w";"logFC.10w";"logFC.12w";"logFC.14w";"logCPM";"LR";"PValue";"FDR";"logFC.WT";"module"
"Mmp7";-0,191546094830749;4,15348653702335;6,3679576730712;2,94574533258782;7,66630928780966;2,19009281456717;240,952727531575;4,79614714408412e-50;8,88377255097399e-48;0;1
"2210407C18Rik";1,44736446567975;6,05966612996095;5,95388176862385;5,75151597626417;4,17031610049523;7,8595611433847;240,409235443898;6,27265539959752e-50;1,14881216869033e-47;0;1
"Gm7666";-6,64329745980791;0,477883513420016;2,89852013645849;2,26103519512477;5,61653705444663;2,1031779508189;239,871033986941;8,18224518343582e-50;1,4818955165556e-47;0;1
"Trim40";0,120478950470387;2,46564441135577;4,76571436042713;3,52363036857757;5,24099580058023;6,83553125822407;238,362089521993;1,72368904113838e-49;3,08748696379732e-47;0;1
"Ppef1";-0,210746253415036;2,31642818767379;6,01571030530966;3,63761676320337;6,61480380566188;2,67018144616593;237,105193144121;3,20608606389649e-49;5,68034813494705e-47;0;1
"Bcl2a1b";-0,212400605120288;1,37428878669137;3,16648828610845;2,97549166919823;5,42895850088268;3,79267652496161;236,336147878899;4,68675949376542e-49;8,21442792993294e-47;0;2
"Ly6a";0,168054219770158;4,00173034534065;5,81621159627597;4,54593238304907;5,69711426361991;10,7928047771624;229,144303325473;1,63155797238254e-47;2,82919095211016e-45;0;1
"Tnf";-0,383563175436493;3,41096778573397;5,78330628669622;4,49325369346034;5,71038316220157;3,51161116557036;227,440295312641;3,78271025637019e-47;6,49033443987727e-45;0;1
"Ly6m";1,86762303122217;3,19354001053956;5,34280288050578;2,74592259291757;5,71373513417154;7,53857832047257;225,458778206864;1,00561971393417e-46;1,7074584726174e-44;0;1
"Socs3";-0,192664517498318;1,4008310357652;4,71664792598494;2,22947450975874;3,75394802552734;5,71139754833388;225,056581317378;1,22635683742676e-46;2,06078520103672e-44;0;1
"Ifi202b";0,514062237708316;2,44394731666492;4,93839687870766;2,89666030489624;5,06718604065955;4,30083316987574;222,07904751722;5,3282080661613e-46;8,86222362024787e-44;0;1
"Bcl2a1a";0,198424141032462;1,25344116637886;3,53005377269205;2,57135413199472;5,42942807206723;3,60872850602136;220,768480980551;1,01705859933131e-45;1,67455102718185e-43;0;2
"Ifng";1,39651730977401;5,02750764519745;9,3653076753282;6,18484032522804;9,11602505138343;1,56551993851402;218,507294894282;3,1024900154886e-45;5,05705872524642e-43;0;1
"Serpina3g";0,061852767754607;2,15221727882097;4,9397387513199;2,64313947237722;4,08044453794435;4,85402686045092;218,097163934984;3,79801325393662e-45;6,12946693457097e-43;0;1
"Tomm5";-0,0962972976832868;0,397712987871901;2,48994587986874;2,3373004026572;4,55261202107681;7,05802051866617;216,104006329927;1,01493724840922e-44;1,62190952441866e-42;0;2
"Rpa3";0,349543508118462;1,25554443720712;2,95596718454425;2,86360841022565;4,92099017843649;6,33735660607028;215,373135418296;1,45532243746634e-44;2,30308308065061e-42;0;2
"Igkv13-84";1,54562603607107;6,45456386119638;4,98511682224106;3,47471382340875;4,35858071274286;3,68245212773437;213,083930447914;4,49942693473493e-44;7,05198644578647e-42;0;1
"Dhrs9";0,85491993460851;2,97576041826312;5,31016225074727;2,14400783055387;3,57212186127478;4,68789073305679;212,030774409578;7,56222610151441e-44;1,1739455757589e-41;0;1
"Igtp";-0,782890100725767;3,34202027126346;4,88968163918979;3,40597453001275;2,56862010923122;7,59344576176594;211,417472521728;1,02319209583647e-43;1,5733991662391e-41;0;1
"Wfdc12";3,48287978694997;7,02089483636417;10,8041270755261;7,45124122748924;10,8259554186704;1,41466292948544;210,885941426056;1,32969879081374e-43;2,02561591497794e-41;0;1
"Ces2f";-0,268763421919672;3,21146426803928;5,08826466902495;3,83858458824629;3,67336733297316;4,65483195042717;209,699844178232;2,38600590067031e-43;3,60110149823389e-41;0;1
"Gm10177";0,285469098033151;0,758459016058688;2,55037514117349;2,21727555491335;4,67160623506572;7,0653319439018;207,670526007647;6,4872092411981e-43;9,7010560212412e-41;0;2
"Gm11430";0,570040441424834;0,785018529317855;3,74732639066544;2,26723887658235;5,12030964513117;3,67313539296026;207,083650174159;8,66304339755634e-43;1,28370552163789e-40;0;2
"Stfa2";1,82468801920282;0;7,48419815244805;3,49984573572397;10,1181963301787;-0,208787933164545;206,507979547992;1,15048184582444e-42;1,6894463141386e-40;0;1
"Mrgpra2b";3,11322077491942;3,85338220449487;9,87110979459775;4,61484795250754;10,0816237545553;0,491717112106335;205,746221509568;1,67459278743792e-42;2,41883252534511e-40;0;1
"Rps6-ps4";-8,38742018377102;1,60166135680314;-3,55258816649343;-8,38742018377102;2,20929348063264;1,00255711060241;205,743476693314;1,67685935806133e-42;2,41883252534511e-40;0;1
"Il6";3,47974471072981;4,24773094234207;8,70506328086906;6,29386434158717;10,83854024256;0,647877574876924;205,439214196097;1,94810176338651e-42;2,78544374940351e-40;0;1
"Ly6c1";0,180283867338294;3,51602879809647;5,21782129518451;3,82008328797981;4,68995262112967;7,96196219322755;203,742402212119;4,49489293107117e-42;6,37102215447478e-40;0;1
"Clec2d";-0,166450269568957;1,44456102982997;2,99165953002584;3,34264254347623;4,6385646358453;5,81051107899404;203,240898698407;5,75479268084159e-42;8,08647592221707e-40;0;2
"Il18bp";0,204076904106657;4,03530084845422;5,11882861538679;4,23084191299426;4,05478341208139;6,00873618233471;202,083999508941;1,01757141421931e-41;1,41764222664742e-39;0;1
"Gm12185";-0,252131934649298;4,15417652976619;5,55723190895975;4,18909493933258;2,30008051860226;3,4245153619285;201,657768666695;1,25532983755053e-41;1,73405731797234e-39;0;1
"Arg1";-0,125570252539348;0,53037402868256;4,22053318755399;0,516881696673974;5,26615197302769;2,36858545515043;200,574664617702;2,14031303322836e-41;2,9316892808086e-39;0;1
"Bcl2l15";1,546547416928;1,05367244086798;7,3985406058704;3,24838720861592;8,0207156721988;0,741039995012217;199,822387250598;3,10033543666937e-41;4,21128896814256e-39;0;1
"Mrpl33";0,203070168502006;0,636907624189975;2,34613453278526;2,08345673054478;4,47339741697478;6,95559456696819;197,072030882173;1,20144193461245e-40;1,6184713664614e-38;0;2
"Btnl2";-0,0899388808265667;5,032747233101;5,39226971174277;5,09451694945056;3,71453584025355;3,58096632307849;196,761518621369;1,39995090949898e-40;1,87042621515028e-38;0;1
"Sec61g";0,229294479067796;0,607616711589508;2,45466365402043;2,00500797492049;4,44744974603531;4,57677749328452;194,351939264159;4,58565158729746e-40;6,07692039617468e-38;0;2
"Clca3a2";0,755664823785893;1,64173300275726;4,72155784262276;2,87750726027692;5,14812599609714;3,61453653618907;193,890032349837;5,75663455649061e-40;7,56718897345137e-38;0;1
"Iglv1";2,84570480131249;3,9509852922948;4,35995458052936;4,21685982491418;6,15638277453321;6,51680584388606;191,188397015174;2,17658106402464e-39;2,83826170748813e-37;0;1
"Znhit3";0,229933471551036;1,04124951319401;3,16478248515032;2,83472261179313;4,55699286588436;4,69329129803576;191,132951770757;2,23680253970021e-39;2,89364138072328e-37;0;2
"Tnfrsf11b";0,427255646665161;0,526769634461058;2,46382419189903;1,2311680359312;4,35694830715126;4,33661006048138;190,84224399566;2,58090957244171e-39;3,31250598667716e-37;0;2
"Atp5md";0,223850459692466;0,746001515477072;2,31780206061761;2,33987295554458;4,5422879794054;7,71836791272325;190,76376122684;2,68256307403823e-39;3,41607641459556e-37;0;2
"Bcl2a1d";0,172470722893834;1,05906608890972;2,78575275869045;2,38864598977199;4,65636886594146;4,15011605377707;189,208464563323;5,76768043642647e-39;7,28784427238384e-37;0;2
"Gbp11";-0,364712772405864;3,58634493220882;6,1572044477796;3,00134762223041;2,62009555352211;2,39276443012869;188,998325426033;6,39611157601779e-39;8,01973989916077e-37;0;1
"Il22";3,48189364227389;4,03628541313341;9,28273570782229;6,73343289750235;10,5236667346924;0,577056172798095;188,548186681019;7,98225123340033e-39;9,9321141301088e-37;0;1
"Steap4";-0,0233910164591215;3,6117816708229;4,79628828010889;3,84767642803677;4,1342705294342;7,0817946523841;188,078313440559;1,00588604519896e-38;1,24211685884417e-36;0;1
"Duoxa2";0,566728891483414;3,46683520025071;4,74535380336852;3,55935888854405;4,93866404056336;7,52018550691478;186,380307051096;2,31964169492605e-38;2,84286914490937e-36;0;1
"Rgs13";0,233623592070271;2,45196424209583;4,3023100082958;4,91349310377327;5,75687350864198;3,04841548595721;184,684158026789;5,34371476039887e-38;6,50019034287325e-36;0;1
"Iglc1";2,69348995730578;3,63278459512848;3,87929222910017;4,05726556504236;5,93514909270603;5,89429876175796;184,214276622479;6,7334102523411e-38;8,12996941578962e-36;0;1
"Galnt17";-0,0493319585751699;-2,66028917114443;-5,49643700772723;-4,25845590779098;-2,81963554989717;3,24518560821106;183,90206486787;7,85123395467951e-38;9,40993481332911e-36;0;5
"Gm379";0,964439418834145;2,25833086832337;4,1706094194121;3,05507044970584;5,73686988101333;3,27913791810912;183,347303822685;1,03146845465559e-37;1,22722159203549e-35;0;1
