"";"logFC.W1";"logFC.W2";"logFC.W3";"logFC.W4";"logFC.W5";"logFC.W6";"logFC.W7";"logCPM";"LR";"PValue";"FDR";"logFC.W0";"module"
"Mettl7b";-0,580917816163593;-0,832778363158732;-1,86738589433435;-3,08725302278607;-2,82246926111707;-4,64297052966747;-4,94799320263439;4,86855716207688;645,689153324374;3,50473332646057e-135;6,12237970651257e-133;0;6
"Ly6g2";0,805973436623384;1,83355481823162;2,50260055968145;4,06179192855088;4,90983014424034;4,42773898318175;4,6078755220099;4,92468892506746;642,438176315303;1,75845935525184e-134;3,03807670145817e-132;0;2
"Btnl2";-0,0102316460082943;5,13252534233601;5,93388502583716;6,56269375644014;6,18767712305198;6,43298380562754;5,95926630532896;4,14778782175295;640,71745215485;4,12933352892622e-134;7,05667192845413e-132;0;1
"Il18bp";0,999701496803223;4,77953337454048;4,86372533326337;5,51621697947441;5,23718532444105;4,87340161015867;4,64334213106568;5,59104065910696;640,08783328852;5,64333520601503e-134;9,54027054935143e-132;0;1
"Serpina3g";0,509686980483722;2,54670408387028;3,19568010094483;4,75037589516127;4,74207130627481;5,09424267908215;4,72945164711959;4,77763830965015;636,424934770553;3,47306367607461e-133;5,80888373566437e-131;0;2
"Serpina1b";-0,733067851704281;1,51403407346791;1,41977710890635;3,20198007390917;5,90025713674437;5,3625110150254;5,73200556209577;2,88258812647888;628,378532385531;1,88016500053228e-131;3,11157411982827e-129;0;2
"Socs1";1,09990814556688;3,55610609282488;3,415478000655;4,85991663378997;5,10595735507428;5,03728462064484;5,32714774847908;5,08544975911436;626,198739311998;5,54333579207299e-131;9,07836722114287e-129;0;2
"Tppp3";-0,247853285786726;-1,01898968796723;-1,95168222850571;-2,7249682494928;-2,47781307540943;-3,65372729695073;-4,62152541867231;6,12158999292591;625,422501980129;8,14679103639825e-131;1,32045204818818e-128;0;6
"Slc51b";0,601621759012814;1,19704774017618;2,10663203591635;3,69788958969451;4,3256389999835;4,15677797904754;4,27235939323096;4,93997978696361;606,579103747507;9,32548439086209e-127;1,49607413870545e-124;0;2
"Igtp";1,40952002986115;4,9277073116103;5,0734445860537;5,88362651533553;5,38075933065695;5,41144934963421;4,71230599299795;7,72434251200017;604,461179384756;2,66555604168823e-126;4,23311839266893e-124;0;1
