"";"gene"
"710";"Actl7a"
"711";"Actl7b"
"712";"Actl9"
"713";"Actn1"
"714";"Actn2"
"715";"Actn3"
"716";"Actn4"
"717";"Actr10"
"718";"Actr1a"
"719";"Actr1b"
"720";"Actr2"
"721";"Actr3"
"722";"Actr3b"
"723";"Actr5"
"724";"Actr6"
"725";"Actr8"
"726";"Actrt1"
"727";"Actrt2"
"728";"Actrt3"
"729";"Acvr1"
"730";"Acvr1b"
"731";"Acvr1c"
"732";"Acvr2a"
"733";"Acvr2b"
"734";"Acvrl1"
"735";"Acy1"
"736";"Acy3"
"737";"Acyp1"
"738";"Acyp2"
"739";"Ada"
"740";"Adad1"
"741";"Adad2"
"742";"Adal"
"743";"Adam10"
"744";"Adam11"
"745";"Adam12"
"746";"Adam15"
"747";"Adam17"
"748";"Adam18"
"749";"Adam19"
"750";"Adam1a"
"751";"Adam1b"
"752";"Adam2"
"753";"Adam20"
"754";"Adam21"
"755";"Adam22"
"756";"Adam23"
"757";"Adam24"
"758";"Adam25"
"759";"Adam26a"
"760";"Adam26b"
"761";"Adam28"
"762";"Adam29"
"763";"Adam3"
"764";"Adam30"
"765";"Adam32"
"766";"Adam33"
"767";"Adam34"
"768";"Adam39"
"769";"Adam4"
"770";"Adam5"
"771";"Adam6a"
"772";"Adam6b"
"773";"Adam7"
"774";"Adam8"
"775";"Adam9"
"776";"Adamdec1"
"777";"Adamts1"
"778";"Adamts10"
"779";"Adamts12"
"780";"Adamts13"
"781";"Adamts14"
"782";"Adamts15"
"783";"Adamts16"
"784";"Adamts17"
"785";"Adamts18"
"786";"Adamts19"
"787";"Adamts2"
"788";"Adamts20"
"789";"Adamts3"
"790";"Adamts4"
"791";"Adamts5"
"792";"Adamts6"
"793";"Adamts7"
"794";"Adamts8"
"795";"Adamts9"
"796";"Adamtsl1"
"797";"Adamtsl2"
"798";"Adamtsl3"
"799";"Adamtsl4"
"800";"Adamtsl5"
"801";"Adap1"
"802";"Adap2"
"803";"Adar"
"804";"Adarb1"
"805";"Adarb2"
"806";"Adat1"
"807";"Adat2"
"808";"Adat3"
"809";"Adck1"
"810";"Adck2"
"811";"Adck5"
"812";"Adcy1"
"813";"Adcy10"
"814";"Adcy2"
"815";"Adcy3"
"816";"Adcy4"
"817";"Adcy5"
"818";"Adcy6"
"819";"Adcy7"
"820";"Adcy8"
"821";"Adcy9"
"822";"Adcyap1"
"823";"Adcyap1r1"
"824";"Add1"
"825";"Add2"
"826";"Add3"
"827";"Adgb"
"828";"Adgra1"
"829";"Adgra2"
"830";"Adgra3"
"831";"Adgrb1"
"832";"Adgrb2"
"833";"Adgrb3"
"834";"Adgrd1"
"835";"Adgrd2-ps"
"836";"Adgre1"
"837";"Adgre4"
"838";"Adgre5"
"839";"Adgrf1"
"840";"Adgrf2"
"841";"Adgrf3"
"842";"Adgrf4"
"843";"Adgrf5"
"844";"Adgrg1"
"845";"Adgrg2"
"846";"Adgrg3"
"847";"Adgrg4"
"848";"Adgrg5"
"849";"Adgrg6"
"850";"Adgrg7"
"851";"Adgrl1"
"852";"Adgrl2"
"853";"Adgrl3"
"854";"Adgrl4"
"855";"Adgrv1"
"856";"Adh1"
"857";"Adh4"
"858";"Adh5"
"859";"Adh6-ps1"
"860";"Adh6a"
"861";"Adh6b"
"862";"Adh7"
"863";"Adhfe1"
"864";"Adi1"
"865";"Adig"
"866";"Adipoq"
"867";"Adipor1"
"868";"Adipor2"
"869";"Adk"
"870";"Adm"
"871";"Adm2"
"872";"Adnp"
"873";"Adnp2"
"874";"Ado"
"875";"Adora1"
"876";"Adora2a"
"877";"Adora2b"
"878";"Adora3"
"879";"Adpgk"
"880";"Adprh"
"881";"Adprhl1"
"882";"Adprhl2"
"883";"Adprm"
"884";"Adra1a"
"885";"Adra1b"
"886";"Adra1d"
"887";"Adra2a"
"888";"Adra2b"
"889";"Adra2c"
"890";"Adrb1"
"891";"Adrb2"
"892";"Adrb3"
"893";"Adrm1"
"894";"Adsl"
"895";"Adss"
"896";"Adssl1"
"897";"Adtrp"
"898";"Aebp1"
"899";"Aebp2"
"900";"Aen"
"901";"AF067061"
"902";"AF067063"
"903";"AF366264"
"904";"Afap1"
"905";"Afap1l1"
"906";"Afap1l2"
"907";"Afdn"
"908";"Aff1"
"909";"Aff2"
"910";"Aff3"
"911";"Aff4"
"912";"Afg3l1"
"913";"Afg3l2"
"914";"Afm"
"915";"Afmid"
"916";"Afp"
"917";"Aftph"
"918";"Aga"
"919";"Agap1"
"920";"Agap2"
"921";"Agap3"
"922";"Agbl1"
"923";"Agbl2"
"924";"Agbl3"
"925";"Agbl4"
"926";"Agbl5"
"927";"Ager"
"928";"Agfg1"
"929";"Agfg2"
"930";"Aggf1"
"931";"Agk"
"932";"Agl"
"933";"Agmat"
"934";"Agmo"
"935";"Ago1"
"936";"Ago2"
"937";"Ago3"
"938";"Ago4"
"939";"Agpat1"
"940";"Agpat2"
"941";"Agpat3"
"942";"Agpat4"
"943";"Agpat5"
"944";"Agps"
"945";"Agr2"
"946";"Agr3"
"947";"Agrn"
"948";"Agrp"
"949";"Agt"
"950";"Agtpbp1"
"951";"Agtr1a"
"952";"Agtr1b"
"953";"Agtr2"
"954";"Agtrap"
"955";"Agxt"
"956";"Agxt2"
"957";"Ahctf1"
"958";"Ahcy"
"959";"Ahcyl1"
"960";"Ahcyl2"
"961";"Ahdc1"
"962";"Ahi1"
"963";"Ahnak"
"964";"Ahnak2"
"965";"Ahr"
"966";"Ahrr"
"967";"Ahsa1"
"968";"Ahsa2"
"969";"Ahsg"
"970";"AI182371"
"971";"AI413582"
"972";"AI429214"
"973";"AI467606"
"974";"AI593442"
"975";"AI597479"
"976";"AI661453"
"977";"AI837181"
"978";"AI987944"
"979";"Aicda"
"980";"Aida"
"981";"Aif1"
"982";"Aif1l"
"983";"Aifm1"
"984";"Aifm2"
"985";"Aifm3"
"986";"Aig1"
"987";"Aim2"
"988";"Aimp1"
"989";"Aimp2"
"990";"Aip"
"991";"Aipl1"
"992";"Aire"
"993";"Ajap1"
"994";"Ajuba"
"995";"Ak1"
"996";"AK157302"
"997";"Ak2"
"998";"Ak3"
"999";"Ak3l2-ps"
"1000";"Ak4"
"1001";"Ak5"
"1002";"Ak6"
"1003";"Ak7"
"1004";"Ak8"
"1005";"Ak9"
"1006";"Akain1"
"1007";"Akap1"
"1008";"Akap10"
"1009";"Akap11"
"1010";"Akap12"
"1011";"Akap13"
"1012";"Akap14"
"1013";"Akap17b"
"1014";"Akap3"
"1015";"Akap4"
"1016";"Akap5"
"1017";"Akap6"
"1018";"Akap7"
"1019";"Akap8"
"1020";"Akap8l"
"1021";"Akap9"
"1022";"Akip1"
"1023";"Akirin1"
"1024";"Akirin1-ps"
"1025";"Akirin2"
"1026";"Akna"
"1027";"Aknad1"
"1028";"Akp-ps1"
"1029";"Akp3"
"1030";"Akr1a1"
"1031";"Akr1b10"
"1032";"Akr1b3"
"1033";"Akr1b7"
"1034";"Akr1b8"
"1035";"Akr1c12"
"1036";"Akr1c13"
"1037";"Akr1c14"
"1038";"Akr1c18"
"1039";"Akr1c19"
"1040";"Akr1c20"
"1041";"Akr1c21"
"1042";"Akr1c6"
"1043";"Akr1cl"
"1044";"Akr1d1"
"1045";"Akr1e1"
"1046";"Akr7a5"
"1047";"Akt1"
"1048";"Akt1s1"
"1049";"Akt2"
"1050";"Akt2-ps"
"1051";"Akt3"
"1052";"Aktip"
"1053";"Alad"
"1054";"Alas1"
"1055";"Alas2"
"1056";"Alb"
"1057";"Alcam"
"1058";"Aldh16a1"
"1059";"Aldh18a1"
"1060";"Aldh1a1"
"1061";"Aldh1a2"
"1062";"Aldh1a3"
"1063";"Aldh1a7"
"1064";"Aldh1b1"
"1065";"Aldh1l1"
"1066";"Aldh1l2"
"1067";"Aldh2"
"1068";"Aldh3a1"
"1069";"Aldh3a2"
"1070";"Aldh3b1"
"1071";"Aldh3b2"
"1072";"Aldh3b3"
"1073";"Aldh4a1"
"1074";"Aldh5a1"
"1075";"Aldh6a1"
"1076";"Aldh7a1"
"1077";"Aldh8a1"
"1078";"Aldh9a1"
"1079";"Aldoa"
"1080";"Aldoart1"
"1081";"Aldoart2"
"1082";"Aldob"
"1083";"Aldoc"
"1084";"Alg1"
"1085";"Alg10b"
"1086";"Alg11"
"1087";"Alg12"
"1088";"Alg13"
"1089";"Alg14"
"1090";"Alg2"
"1091";"Alg3"
"1092";"Alg5"
"1093";"Alg6"
"1094";"Alg8"
"1095";"Alg9"
"1096";"Alk"
"1097";"Alkbh1"
"1098";"Alkbh2"
"1099";"Alkbh3"
"1100";"Alkbh4"
"1101";"Alkbh5"
"1102";"Alkbh6"
"1103";"Alkbh7"
"1104";"Alkbh8"
"1105";"Allc"
"1106";"Alms1"
"1107";"Alms1-ps1"
"1108";"Alms1-ps2"
"1109";"Alox12"
"1110";"Alox12b"
"1111";"Alox12e"
"1112";"Alox15"
"1113";"Alox5"
"1114";"Alox5ap"
"1115";"Alox8"
"1116";"Aloxe3"
"1117";"Alpi"
"1118";"Alpk1"
"1119";"Alpk2"
"1120";"Alpk3"
"1121";"Alpl"
"1122";"Alppl2"
"1123";"Als2"
"1124";"Als2cl"
"1125";"Alx1"
"1126";"Alx3"
"1127";"Alx4"
"1128";"Alyref"
"1129";"Alyref2"
"1130";"Amacr"
"1131";"Ambn"
"1132";"Ambp"
"1133";"Ambra1"
"1134";"Amd-ps1"
"1135";"Amd-ps3"
"1136";"Amd-ps4"
"1137";"Amd1"
"1138";"Amd2"
"1139";"Amdhd1"
"1140";"Amdhd2"
"1141";"Amelx"
