"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"1754";"Bmp8a";"BMP8B";NA;-1,08817306115939;NA;NA;"down";NA;NA
"8444";"Hdac7";"HDAC7";NA;1,08742486632896;NA;NA;"up";NA;NA
"2647";"Ccr5";"CCR5";1;1,08700850389349;NA;NA;"up";NA;NA
"37";"Abca13";"ABCA13";1;1,08657421881794;NA;NA;"up";NA;NA
"17489";"Pdcd4";"PDCD4";8;-1,0862697880528;NA;NA;"down";NA;NA
"2752";"Cd69";"CD69";1;1,08381550044173;NA;NA;"up";NA;NA
"8977";"Hsd17b11";"HSD17B11";NA;-1,08343300919773;NA;NA;"down";NA;NA
"3591";"Cnnm2";"CNNM2";NA;-1,08325482730561;NA;NA;"down";NA;NA
"2879";"Cdk5r1";"CDK5R1";NA;1,08324023866222;NA;NA;"up";NA;NA
"24027";"Tmem100";"TMEM100";NA;-1,08317389138247;NA;NA;"down";NA;NA
"7663";"Gulp1";"GULP1";NA;-1,08305672428672;NA;NA;"down";NA;NA
"24896";"Trim9";"TRIM9";NA;-1,08303925490062;NA;NA;"down";NA;NA
"4421";"Cytip";"CYTIP";2;1,0825182951454;NA;NA;"up";NA;NA
"21064";"Rxfp4";"RXFP4";NA;-1,08226805721966;NA;NA;"down";NA;NA
"8667";"H2-Ea";"HLA-DRA";NA;1,08192863708581;NA;NA;"up";NA;NA
"3289";"Chrna7";"CHRNA7";8;-1,08122107101644;NA;NA;"down";NA;NA
"22150";"Slc9a2";"SLC9A2";NA;-1,07916633161404;NA;NA;"down";NA;NA
"25333";"Ucp2";"UCP2";NA;1,07891587652783;NA;NA;"up";NA;NA
"19847";"Ptgdr";"PTGDR";NA;-1,07820422468569;NA;NA;"down";NA;NA
"15704";"Nr1i2";"NR1I2";NA;-1,0781148115156;NA;NA;"down";NA;NA
"12905";"Lgi4";"LGI4";NA;-1,07785497594159;NA;NA;"down";NA;NA
"5414";"Dyrk3";"DYRK3";NA;1,0772935299056;NA;NA;"up";NA;NA
"5352";"Dusp10";"DUSP10";NA;1,07726251026732;NA;NA;"up";NA;NA
"4420";"Cyth4";"CYTH4";1;1,07682304562408;NA;NA;"up";NA;NA
"17271";"Papln";"PAPLN";NA;1,07671267897275;NA;NA;"up";NA;NA
"20235";"Rasgef1a";"RASGEF1A";2;1,07635304647821;NA;NA;"up";NA;NA
"2355";"Cass4";"CASS4";1;1,0748935608728;NA;NA;"up";NA;NA
"15747";"Nron";"NRON";NA;-1,07481187227535;NA;NA;"down";NA;NA
"15791";"Nt5dc2";"NT5DC2";NA;1,07479529713488;NA;NA;"up";NA;NA
"17751";"Phyh";"PHYH";NA;-1,07452549559797;NA;NA;"down";NA;NA
"11836";"D630003M21Rik";"KIAA1755";NA;1,0742493390287;NA;NA;"up";NA;NA
"2761";"Cd82";"CD82";NA;1,07316279418588;NA;NA;"up";NA;NA
"7169";"Glcci1";"GLCCI1";NA;1,07280317533361;NA;NA;"up";NA;NA
"3046";"Cep128";"CEP128";NA;1,07215526227975;NA;NA;"up";NA;NA
"11244";"Il15ra";"IL15RA";NA;1,07213637971247;NA;NA;"up";NA;NA
"20577";"Rilpl2";"RILPL2";2;1,07096789292217;NA;NA;"up";NA;NA
"21222";"Scimp";"SCIMP";NA;1,07034944263623;NA;NA;"up";NA;NA
"15206";"Nbeal1";"NBEAL1";NA;-1,06961124933976;NA;NA;"down";NA;NA
"20510";"Rgs19";"RGS19";NA;1,06915629164696;NA;NA;"up";NA;NA
"720";"Ampd1";"AMPD1";NA;-1,06873882705957;NA;NA;"down";NA;NA
"2743";"Cd53";"CD53";1;1,06860224650245;NA;NA;"up";NA;NA
"9074";"Hvcn1";"HVCN1";1;1,06835215463024;NA;NA;"up";NA;NA
"15231";"Ncf1";"NCF1C";1;1,06767361218505;NA;NA;"up";NA;NA
"5718";"Endod1";"ENDOD1";NA;-1,06743096655369;NA;NA;"down";NA;NA
"22436";"Snx30";"SNX30";NA;-1,06731843485577;NA;NA;"down";NA;NA
"17207";"Pabpc1l";"PABPC1L";NA;1,06691035093877;NA;NA;"up";NA;NA
"11366";"Inpp5d";"INPP5D";1;1,06668715581645;NA;NA;"up";NA;NA
"22170";"Slco1c1";"SLCO1C1";NA;-1,0666701629254;NA;NA;"down";NA;NA
"17588";"Pecam1";"PECAM1";NA;1,06602140975985;NA;NA;"up";NA;NA
"5890";"Espn";"ESPN";NA;-1,06558605602056;NA;NA;"down";NA;NA
"25121";"Ttyh3";"TTYH3";NA;1,06547675681137;NA;NA;"up";NA;NA
"20631";"Rnase1";"RNASE1";2;-1,06478733205232;NA;NA;"down";NA;NA
"15535";"Nlrp1a";"NLRP1";NA;1,06445668656254;NA;NA;"up";NA;NA
"17977";"Plekhg6";"PLEKHG6";NA;-1,06394710911554;NA;NA;"down";NA;NA
"3462";"Clec2d";"CLEC2D";2;1,06378655847278;NA;NA;"up";NA;NA
"976";"Apobec4";"APOBEC4";NA;-1,06298057792862;NA;NA;"down";NA;NA
"21953";"Slc29a4";"SLC29A4";NA;-1,06267846027202;NA;NA;"down";NA;NA
"4089";"Ctsa";"CTSA";NA;-1,06169564873893;NA;NA;"down";NA;NA
"1040";"Appl2";"APPL2";NA;-1,0616707954316;NA;NA;"down";NA;NA
"17952";"Pld4";"PLD4";NA;1,06158432074889;NA;NA;"up";NA;NA
"20993";"Rspo2";"RSPO2";NA;-1,06105221676768;NA;NA;"down";NA;NA
"23918";"Timp4";"TIMP4";NA;-1,06099749977985;NA;NA;"down";NA;NA
"7459";"Gpsm3";"GPSM3";1;1,06089093591106;NA;NA;"up";NA;NA
"17233";"Pag1";"PAG1";NA;-1,06040043738437;NA;NA;"down";NA;NA
"11716";"Kcnk10";"KCNK10";NA;-1,0602874783688;NA;NA;"down";NA;NA
"7069";"Gfpt2";"GFPT2";NA;1,06027728670125;NA;NA;"up";NA;NA
"8447";"Hdc";"HDC";2;1,06012677818119;NA;NA;"up";NA;NA
"12842";"Lcp2";"LCP2";1;1,05997333633237;NA;NA;"up";NA;NA
"19531";"Prlr";"PRLR";8;-1,05927120049753;NA;NA;"down";NA;NA
"6073";"Fam167a";"FAM167A";NA;1,05854201490605;NA;NA;"up";NA;NA
"15449";"Nhej1";"NHEJ1";NA;-1,05827726513719;NA;NA;"down";NA;NA
"25234";"Ubash3a";"UBASH3A";1;1,05767479326633;NA;NA;"up";NA;NA
"24206";"Tmem38b";"TMEM38B";NA;-1,05715456677858;NA;NA;"down";NA;NA
"11211";"Igsf3";"IGSF3";NA;-1,05405944886267;NA;NA;"down";NA;NA
"2295";"Capn12";"CAPN12";NA;1,05320480883427;NA;NA;"up";NA;NA
"25772";"Vav1";"VAV1";NA;1,05271746850106;NA;NA;"up";NA;NA
"23360";"Syvn1";"SYVN1";NA;1,05271304029746;NA;NA;"up";NA;NA
"14032";"Mier3";"MIER3";NA;-1,05268440429737;NA;NA;"down";NA;NA
"9013";"Hsh2d";"HSH2D";NA;1,0525235480893;NA;NA;"up";NA;NA
"9424";"Igflr1";"IGFLR1";1;1,0518348843001;NA;NA;"up";NA;NA
"5767";"Epb41l1";"EPB41L1";7;-1,05171830019889;NA;NA;"down";NA;NA
"20261";"Raver2";"RAVER2";NA;-1,05072217803836;NA;NA;"down";NA;NA
"19449";"Prdm1";"PRDM1";2;1,05043923089962;NA;NA;"up";NA;NA
"2124";"4930469K13Rik";"C5orf58";NA;1,04950295930657;NA;NA;"up";NA;NA
"15408";"Nfam1";"NFAM1";1;1,04944722422055;NA;NA;"up";NA;NA
"1261";"Asb13";"ASB13";NA;-1,04851008491646;NA;NA;"down";NA;NA
"18059";"Pml";"PML";NA;1,04830087418746;NA;NA;"up";NA;NA
"11448";"Irak2";"IRAK2";NA;1,04779388474555;NA;NA;"up";NA;NA
