"";"logFC.D10";"logFC.D20";"logFC.D30";"logFC.D40";"logFC.D50";"logFC.D60";"logCPM";"LR";"PValue";"FDR";"logFC.D0";"module"
"Serpinb11";0;0;0;6,17516581067343;4,93477657427659;10,9631906716042;0,404224307291905;310,724751041689;4,11367429183069e-64;9,1305939245962e-62;0;2
"Il1b";-0,864488430876499;1,66353752426377;1,32977554825011;5,16106414894432;3,80632641280143;5,53307352035052;2,72561429682967;307,730684607679;1,80313177681435e-63;3,94581104455839e-61;0;1
"Clec7a";-0,0894685704168728;1,23539565927881;1,98390210476119;3,79068839181204;3,72361477280865;4,19246052388289;3,78198785805251;291,863597609562;4,52737800027086e-60;9,7697044430845e-58;0;1
"Cfh";-0,774846305241098;0,365423477694174;0,81053765236369;1,2393274404428;0,935681403254747;3,19105557390985;5,01540311650738;290,88969068197;7,31888091676666e-60;1,55771853155895e-57;0;2
"Hsd3b3";-0,145514977423114;-0,649474047297484;-0,697637128603594;-1,04767335451041;-1,34181404777401;-6,27482129404623;4,71690340705874;285,6956103593;9,47946724630402e-59;1,99030381899764e-56;0;8
"Psmb9";0,714410751221143;2,82986186020505;2,81666043511161;2,83149998806276;3,07239440437722;3,98706716862297;6,73897915783171;278,354586669404;3,53522405879637e-57;7,27939521721523e-55;0;1
"Acod1";1,27838219259073;4,53573959850887;5,81107211872065;7,55487008016092;7,70146738350561;8,43672883793424;2,24203647465711;278,339988239202;3,56075198885472e-57;7,27939521721523e-55;0;1
"Slc30a10";-0,0361013517312607;-2,61802848210169;-2,44526401784762;-2,32991086652385;-2,3001963396744;-5,93076665488849;3,69131462923919;273,505578858811;3,85666449894363e-56;7,7819475740373e-54;0;7
"Tnfrsf1b";0,121155513878885;0,926370947550352;0,898119326022977;1,74465424239572;1,48083714861522;3,3138891516907;6,08639393389419;273,050598651476;4,82585230941736e-56;9,61272658095096e-54;0;2
"Gm12185";0,284783967928083;5,22174178673786;4,83746672296665;3,47809015022324;4,96497872532089;5,81760863296141;3,14279180391876;272,994817342717;4,96033059488472e-56;9,75552613325619e-54;0;1
"Pla2g2a";1,4411820884695;2,53246766735701;2,23401905661486;4,76210829321242;3,23760686619638;4,76279288082103;3,79573672901892;272,945931746741;5,08126190681039e-56;9,86844578076413e-54;0;1
"Cxcl2";1,82036956632749;0,616977717644395;2,29975445545125;7,85867413252314;5,33622323814919;8,3339486770862;1,29733055282773;271,961448595625;8,25341832504137e-56;1,58312790760701e-53;0;2
"Mettl7a2";0,374151708119807;0,372632282890976;-0,391887825029846;-1,51845448873034;-0,743887156085034;-4,40153447819316;5,16919595481619;270,424071277343;1,76028672188684e-55;3,33531399975071e-53;0;8
"Cd3g";2,88602991510017;6,8115445828005;7,88804090632629;7,89741872829098;8,228526076327;9,13601333426734;2,61151932241223;268,111539221928;5,49970111892591e-55;1,02950429258737e-52;0;1
"Lcn2";0,555178358273184;0,996444389175472;1,28306478367562;3,57286627059342;2,33760931756253;4,70999398015875;3,32328310940562;265,309715315594;2,18620625394184e-54;4,04370078184457e-52;0;2
"Gbp5";0,551427448347706;2,76338443633108;2,9244656357269;2,6554845864854;3,4603964968432;4,23104872768727;4,6208097433716;265,142340972833;2,3740617316697e-54;4,33950554411202e-52;0;1
"Mfsd2a";0,792378610547313;1,52120081799633;0,909500006100783;3,3056778768033;2,13860572739386;4,48136411056771;3,68537921132846;263,580470641277;5,12336085235364e-54;9,25600669337425e-52;0;2
"Icam1";0,735724656610398;2,21915243208198;2,66970604501146;3,10166291104185;3,63031244479663;4,24465138023532;4,483370451009;261,795728816374;1,23381569244917e-53;2,20342464523939e-51;0;1
"Mmp12";0,281579254705041;0,108487297827349;1,48244362291453;3,1724878997982;4,49627366666979;4,98966505695028;2,71414416081986;261,238974456523;1,62297910957686e-53;2,86548027562451e-51;0;2
"Plaur";0,105259257847393;0,479772721562839;0,614657456034314;3,59489440593005;2,17626116326232;4,01789855115904;3,4507422792237;260,976193501559;1,84717324071192e-53;3,22466636415069e-51;0;2
"Chil3";1,87655054085568;3,21245211218272;4,66437662512578;7,41253337054962;6,27142386611398;5,93588665564994;2,9633153944193;259,911133564859;3,12074088509653e-53;5,38743901463831e-51;0;1
"Tac1";-0,330470243796104;0,941896574567123;0,132396873782209;1,63059215898911;0,24926166517106;3,02288727988454;5,01329409750478;257,582447719473;9,82129146164055e-53;1,67685060922538e-50;0;2
"Steap4";0,757306202898014;2,12659124725459;3,30363709354936;2,0618621845485;3,11168559912055;3,86486713270294;5,01450251295798;256,997694064079;1,30974728648469e-52;2,21190691196876e-50;0;1
"Itgal";0,730155192862449;3,06467012810566;3,90884753202245;3,92165847434376;4,5344206994132;5,07674796317846;3,56667907286693;250,988376881925;2,5217657435639e-51;4,21297573739273e-49;0;1
"Ms4a4b";2,14671726858394;5,79722825319436;6,38289347434849;6,42890080729686;6,9683099604852;7,77093196473881;2,7488522949431;250,939146232876;2,58360436855337e-51;4,27036819938444e-49;0;1
